Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
imp,com.tagtraum.perf.gcviewer.imp,TestLogHandler,1,0,5,5,22,6,0,0,0.6,22,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestLogHandler.java,8
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,0,0,30,28,254,30,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderUJLShenandoah.java,20
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,0,0,8,6,110,8,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderJRockit1_6_0.java,23
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderGo,0,0,2,2,31,2,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderGo.java,19
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_4_0,0,0,6,5,139,6,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderSun1_4_0.java,20
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_8_0,0,0,31,28,343,31,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderSun1_8_0.java,25
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK12,0,0,1,1,18,1,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderUJLG1JDK12.java,17
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_8_0G1,0,0,13,11,146,13,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderSun1_8_0G1.java,26
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_6_0,1,0,55,54,475,55,0,0,0.9090909090909091,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderSun1_6_0.java,25
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLCMS,0,0,4,3,71,4,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestDataReaderUJLCMS.java,22
