Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,AbstractDataReaderSun,4,1,3,57,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,getMemoryInKiloByte,3,1,3,70,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryAndPauses,3,1,2,82,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryAndPauses,4,1,3,94,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryExtended,39,7,3,107,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,isNumberCharacter,3,1,1,177,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemory,23,7,3,183,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parsePause,16,4,2,213,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,hasNextDetail,4,1,2,242,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextCharIsBracket,4,1,2,249,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,37,12,2,255,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseGcId,20,8,2,304,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseType,4,1,2,333,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,extractTypeFromParsedString,3,1,1,339,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsTimestamp,28,6,2,343,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTimestamp,7,2,2,393,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,getTimestamp,10,3,3,411,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseLine,0,1,2,435,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,startsWith,9,3,3,437,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,contains,4,1,3,459,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseDatestamp,16,3,2,477,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsDatestamp,6,2,2,503,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseDetailEventsIfExist,49,8,3,518,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsPromotionFailed,11,3,2,584,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,skipLines,27,6,3,598,0,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun,com.tagtraum.perf.gcviewer.imp.AbstractDataReaderSun
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,skipUntilEndOfDetail,4,2,3,642,0,,
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,skipUntilEndOfDetail,18,4,3,655,0,,
