Project Name,Package Name,Architecture Smell,Cause of the Smell
gcviewer,com.tagtraum.perf.gcviewer.imp,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
gcviewer,com.tagtraum.perf.gcviewer.imp,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.ctrl.impl
gcviewer,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.0. All the dependencies among components: from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.ctrl.impl; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.exp; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.ctrl.impl; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.imp; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.exp.impl; from: com.tagtraum.perf.gcviewer.ctrl to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.ctrl to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.ctrl; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.imp; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view.model; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.ctrl.action; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view.util; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.ctrl; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.view.util; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.view.model; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.exp; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.exp.impl; from: com.tagtraum.perf.gcviewer.model to: com.tagtraum.perf.gcviewer.math; from: com.tagtraum.perf.gcviewer.model to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.view.renderer to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.view.renderer to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.view.model; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.view.util; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.view.renderer; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.log; from: com.tagtraum.perf.gcviewer.view.util to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.view.model to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.exp; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.math; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.exp to: com.tagtraum.perf.gcviewer.model.
gcviewer,com.tagtraum.perf.gcviewer.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LocalisationHelper]; [BuildInfoReader]; [LoggerHelper]; [HttpUrlConnectionHelper]; [DateHelper]; [TimeFormat; FormattedValue; MemoryFormat]; [ParseInformation]; [NumberParser]. LCC (Lack of Component Cohesion) = 0.8
gcviewer,com.tagtraum.perf.gcviewer.ctrl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.view
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.ctrl.action
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GCModelLoaderGroupTrackerImpl; GCModelLoaderControllerImpl; ViewMenuController; GCViewerGuiBuilder; WatchStateController; GCDocumentController; GCModelLoaderFactory; GCViewerGuiController; RecentGCResourcesMenuController]; [FileDropTargetListener]; [FileDropTargetListener.DropFlavor]; [AbstractGCModelLoaderImpl; GCModelSeriesLoaderImpl; GCModelLoaderImpl]; [GcSeriesLoader]; [GcSeriesLoader.Timestamp]; [GcSeriesLoader.GcDateStamp]; [GcSeriesLoader.GcTimeStamp]; [GCViewerUncaughtExceptionHandler]; [GCViewerGuiInternalFrameController]; [TimeOffsetPanelController]. LCC (Lack of Component Cohesion) = 0.52
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer.ctrl.impl; com.tagtraum.perf.gcviewer.imp; com.tagtraum.perf.gcviewer.ctrl.impl
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WindowMenuItemAction]; [Arrange]; [Zoom]; [OpenFile]; [About]; [Refresh]; [ReadmeAction]; [Watch; RefreshWatchDog; Watch.TimerInfo]; [Watch.GCDocumentCloseListener]; [OpenSeries]; [OSXFullScreen]; [OpenURL]; [LicenseAction]; [Export]; [Export.ExportExtensionFileFilter]; [OpenRecent]; [Exit]; [RefreshWatchDog.ModelReloader]. LCC (Lack of Component Cohesion) = 0.9
gcviewer,com.tagtraum.perf.gcviewer.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConcurrentGCEvent; GCModel; AbstractGcResource; GCEvent; GCEventUJL; AbstractGCEvent; G1GcEvent; GcResourceFile; VmOperationEvent; GcResourceSeries; GCResource]; [GCModel.FileInformation]; [GCModel.Format]; [AbstractGCEvent.ExtendedType]; [AbstractGCEvent.Type]; [AbstractGCEvent.GcPattern]; [AbstractGCEvent.Concurrency]; [AbstractGCEvent.Generation]; [AbstractGCEvent.CollectionType]. LCC (Lack of Component Cohesion) = 0.47
