Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryExtended,Long Statement,The length of the statement "event.setPreUsed(getMemoryInKiloByte(NumberParser.parseDouble(line`currentPos`endOfNextNumber - currentPos - 1)`line.charAt(endOfNextNumber - 1)`line));" is 152.,107
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryExtended,Long Statement,The length of the statement "event.setPostUsed(getMemoryInKiloByte(NumberParser.parseDouble(line`currentPos`endOfNextNumber - currentPos - 1)`line.charAt(endOfNextNumber - 1)`line));" is 153.,107
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryExtended,Long Statement,The length of the statement "event.setTotal(getMemoryInKiloByte(NumberParser.parseDouble(line`currentPos`endOfNextNumber - currentPos - 1)`line.charAt(endOfNextNumber - 1)`line));" is 150.,107
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryExtended,Magic Number,The method contains a magic number: 2,107
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemoryExtended,Magic Number,The method contains a magic number: 10,107
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemory,Magic Number,The method contains a magic number: 2,183
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemory,Magic Number,The method contains a magic number: 2,183
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemory,Magic Number,The method contains a magic number: 3,183
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemory,Magic Number,The method contains a magic number: 2,183
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,setMemory,Magic Number,The method contains a magic number: 2,183
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parsePause,Magic Number,The method contains a magic number: 1000,213
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,Complex Conditional,The conditional expression c == '(' || isInParantesis || c == ')' is complex.,255
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,Complex Conditional,The conditional expression c == ':' || c == '[' || c == ']' || c == '`' || Character.isDigit(c) is complex.,255
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,Complex Conditional,The conditional expression c == '[' || c == ']' || Character.isDigit(c) is complex.,255
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,Complex Method,Cyclomatic complexity of the method is 12,255
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,Magic Number,The method contains a magic number: 20,255
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseTypeString,Magic Number,The method contains a magic number: 3,255
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseGcId,Complex Method,Cyclomatic complexity of the method is 8,304
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,getTimestamp,Magic Number,The method contains a magic number: 1000,411
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseDatestamp,Long Statement,The length of the statement "zonedDateTime=ZonedDateTime.parse(line.substring(pos.getIndex()`pos.getIndex() + LENGTH_OF_DATESTAMP - 1)`DateHelper.DATE_TIME_FORMATTER);" is 138.,477
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsDatestamp,Long Statement,The length of the statement "return line.indexOf("-"`pos.getIndex()) == pos.getIndex() + 4 && line.indexOf("-"`pos.getIndex() + 5) == pos.getIndex() + 7;" is 124.,503
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsDatestamp,Magic Number,The method contains a magic number: 10,503
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsDatestamp,Magic Number,The method contains a magic number: 4,503
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsDatestamp,Magic Number,The method contains a magic number: 5,503
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsDatestamp,Magic Number,The method contains a magic number: 7,503
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseDetailEventsIfExist,Complex Method,Cyclomatic complexity of the method is 8,518
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,parseDetailEventsIfExist,Magic Number,The method contains a magic number: 2,518
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,nextIsPromotionFailed,Magic Number,The method contains a magic number: 3,584
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,skipLines,Magic Number,The method contains a magic number: 200,598
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,skipLines,Magic Number,The method contains a magic number: 200,598
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderFacade,loadModel,Long Statement,The length of the statement "logger.warning(LocalisationHelper.getString("fileopen_dialog_read_file_failed") + "\n" + e.toString()+ " "+ e.getLocalizedMessage());" is 133.,43
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderFacade,readModel,Magic Number,The method contains a magic number: 100L,95
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleAFElement,Complex Method,Cyclomatic complexity of the method is 9,83
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleAFElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6a22e625,83
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleAFStart,Magic Number,The method contains a magic number: 1000,113
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleTimeElement,Magic Number,The method contains a magic number: 1000,128
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleTenuredElement,Magic Number,The method contains a magic number: 3,148
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleSOAElement,Magic Number,The method contains a magic number: 3,159
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,handleLOAElement,Magic Number,The method contains a magic number: 3,169
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,endElement,Complex Conditional,The conditional expression currentAF.afterSOATotalBytes != -1 && currentAF.afterSOAFreeBytes != -1 && currentAF.initialSOAFreeBytes != -1 && currentAF.initialSOATotalBytes != -1 is complex.,202
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,endElement,Complex Conditional,The conditional expression currentAF.afterLOATotalBytes != -1 && currentAF.afterLOAFreeBytes != -1 && currentAF.initialLOAFreeBytes != -1 && currentAF.initialLOATotalBytes != -1 is complex.,202
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,endElement,Complex Method,Cyclomatic complexity of the method is 11,202
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,endElement,Long Statement,The length of the statement "if (currentAF.afterSOATotalBytes != -1 && currentAF.afterSOAFreeBytes != -1 && currentAF.initialSOAFreeBytes != -1 && currentAF.initialSOATotalBytes != -1) {" is 157.,202
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,endElement,Long Statement,The length of the statement "if (currentAF.afterLOATotalBytes != -1 && currentAF.afterLOAFreeBytes != -1 && currentAF.initialLOAFreeBytes != -1 && currentAF.initialLOATotalBytes != -1) {" is 157.,202
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Complex Conditional,The conditional expression gcLogType == GcLogType.SUN1_5 && lastLineWasScavengeBeforeRemark && !lineSkippedForScavengeBeforeRemark is complex.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Complex Method,Cyclomatic complexity of the method is 38,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the identifier printAdaptiveSizePolicyMatcher is 30.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the identifier printCmsStatisticsIterationsMatcher is 35.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the identifier printTenuringDistributionMatcher is 32.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the identifier lastLineWasScavengeBeforeRemark is 31.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the identifier lineSkippedForScavengeBeforeRemark is 34.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the field printAdaptiveSizePolicyPattern is 30.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the field printCmsStatisticsIterationsPattern is 35.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the field printTenuringDistributionPattern is 32.,274
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,read,Long Identifier,The length of the field SHENANDOAH_DETAILS_FINAL_MARK_SPLIT_START is 41.,274
