Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
gcviewer,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,10,0,29,0,515,97,3,2,0.20689655172413793,0,8,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/AbstractDataReaderSun.java,23
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderFacade,1,0,4,2,103,14,0,0,0.0,4,12,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderFacade.java,24
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderException,0,0,4,4,18,4,0,0,-1.0,1,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderException.java,3
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,8,0,16,3,0,47,0,0,0.0,1,5,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/IBMJ9SAXHandler.java,25
gcviewer,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler.AF,29,0,0,0,61,0,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/IBMJ9SAXHandler.java,280
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,42,0,14,2,482,73,0,3,0.14285714285714285,0,7,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderSun1_6_0.java,29
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderIBM_J9_R28,11,0,15,2,220,57,0,2,0.13333333333333333,0,6,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM_J9_R28.java,30
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderHPUX1_4_1,0,0,3,2,0,16,0,2,-1.0,0,5,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderHPUX1_4_1.java,22
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReader,0,0,1,0,12,1,1,0,-1.0,2,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReader.java,7
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderJRockit1_6_0,3,0,3,2,139,36,0,2,0.6666666666666666,0,5,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderJRockit1_6_0.java,15
gcviewer,com.tagtraum.perf.gcviewer.imp,ParseException,2,0,4,4,26,5,1,0,0.5,4,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/ParseException.java,7
gcviewer,com.tagtraum.perf.gcviewer.imp,DataReaderIBM1_3_1,1,0,10,2,0,25,0,2,0.2,0,5,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM1_3_1.java,18
