Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
imp,com.tagtraum.perf.gcviewer.imp,TestLogHandler,getCount,3,1,0,19,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestLogHandler,getLogRecords,3,1,0,23,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestLogHandler,publish,5,2,1,27,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestLogHandler,flush,2,1,0,34,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestLogHandler,close,2,1,0,39,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,getGCModelFromLogFile,3,1,1,24,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,getGCModelFromLogString,3,1,1,28,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseAllocationFailure,17,1,0,32,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parsePassiveHeuristics,8,1,0,52,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSingleSystemGCEvent,16,1,0,63,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSeveralSystemGCEvents,15,1,0,83,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk11Beginning,4,1,0,101,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk11,8,1,0,108,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk17,8,1,0,120,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentReset,8,1,0,131,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitMark,11,1,0,142,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarkingRoots,7,1,0,164,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarking,7,1,0,174,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentPrecleaning,7,1,0,184,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalMark,9,1,0,194,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentThreadRoots,7,1,0,217,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakReferences,7,1,0,227,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakRoots,7,1,0,237,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentCleanup,10,1,0,247,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentClassUnloading,7,1,0,263,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentStrongRoots,7,1,0,273,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentEvacuation,7,1,0,283,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitUpdateRefs,8,1,0,293,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateRefs,8,1,0,310,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateThreadRoots,7,1,0,321,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalUpdateRefs,8,1,0,331,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalRoots,9,1,0,349,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUncommit,8,1,0,363,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseDegeneratedGc,9,1,0,379,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testParseFullGcWithPhases,9,1,0,391,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,getInputStream,3,1,1,31,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,getDataReader,3,1,1,35,0,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testGcPrioPauseSingleParCon,17,1,0,39,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testGcPrioPauseSingleParConVerbose,18,1,0,62,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testGenConVerbose,5,1,0,88,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testGenParVerboseNursery,30,1,0,101,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testMalformedType,12,1,0,145,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testStandardLine,13,1,0,169,1,,
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderGo,test,18,1,0,21,1,,
