Project Name,Package Name,Architecture Smell,Cause of the Smell
GCViewer,com.tagtraum.perf.gcviewer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.ctrl.impl; com.tagtraum.perf.gcviewer.exp; com.tagtraum.perf.gcviewer.imp; com.tagtraum.perf.gcviewer.exp.impl; com.tagtraum.perf.gcviewer.view
GCViewer,com.tagtraum.perf.gcviewer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GCViewerTest; GCViewer; TestGCViewerArgsParser; GCViewerArgsParser; GCViewerArgsParserException]; [ImportPerformanceTest]; [UnittestHelper]; [UnittestHelper.FOLDER]; [GCOutputProducer]; [GCOutputProducer.MemoryConsumingObject]; [TestBuildInfoReader]. LCC (Lack of Component Cohesion) = 0.64
GCViewer,com.tagtraum.perf.gcviewer,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.imp; com.tagtraum.perf.gcviewer.model.
GCViewer,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.47. All the dependencies among components: from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.ctrl.impl; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.exp; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.math; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.imp; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.exp.impl; from: com.tagtraum.perf.gcviewer to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.math; from: com.tagtraum.perf.gcviewer.imp to: com.tagtraum.perf.gcviewer.ctrl.impl; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.imp; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.ctrl; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view.model; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.ctrl.action; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view.util; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.ctrl.impl to: com.tagtraum.perf.gcviewer.view.renderer; from: com.tagtraum.perf.gcviewer.model to: com.tagtraum.perf.gcviewer.math; from: com.tagtraum.perf.gcviewer.model to: com.tagtraum.perf.gcviewer.imp; from: com.tagtraum.perf.gcviewer.model to: com.tagtraum.perf.gcviewer; from: com.tagtraum.perf.gcviewer.model to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.view.util to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.view.model to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.view.model; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.view.util; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.view.renderer; from: com.tagtraum.perf.gcviewer.view to: com.tagtraum.perf.gcviewer.log; from: com.tagtraum.perf.gcviewer.exp to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.exp to: com.tagtraum.perf.gcviewer.exp.impl; from: com.tagtraum.perf.gcviewer.exp to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.exp to: com.tagtraum.perf.gcviewer.imp; from: com.tagtraum.perf.gcviewer.ctrl to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.ctrl to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.ctrl; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.view.util; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.view.model; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.exp; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.ctrl.action to: com.tagtraum.perf.gcviewer.exp.impl; from: com.tagtraum.perf.gcviewer.view.renderer to: com.tagtraum.perf.gcviewer.view; from: com.tagtraum.perf.gcviewer.view.renderer to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.model; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.exp; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.util; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.math; from: com.tagtraum.perf.gcviewer.exp.impl to: com.tagtraum.perf.gcviewer.view.
GCViewer,com.tagtraum.perf.gcviewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer; com.tagtraum.perf.gcviewer.ctrl.impl; com.tagtraum.perf.gcviewer
GCViewer,com.tagtraum.perf.gcviewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer; com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer
GCViewer,com.tagtraum.perf.gcviewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer; com.tagtraum.perf.gcviewer.imp; com.tagtraum.perf.gcviewer
GCViewer,com.tagtraum.perf.gcviewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer; com.tagtraum.perf.gcviewer.ctrl.impl; com.tagtraum.perf.gcviewer.ctrl; com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer
GCViewer,com.tagtraum.perf.gcviewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer; com.tagtraum.perf.gcviewer.ctrl.impl; com.tagtraum.perf.gcviewer.view.model; com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer
GCViewer,com.tagtraum.perf.gcviewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer; com.tagtraum.perf.gcviewer.ctrl.impl; com.tagtraum.perf.gcviewer.ctrl.action; com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer
