Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,singleArgumentWithSeriesOpensGui,Long Statement,The length of the statement "verify(controller).startGui(new GcResourceSeries(Arrays.asList(new GcResourceFile("some_gc.log.0")`new GcResourceFile("some_gc.log.1")`new GcResourceFile("some_gc.log.2"))));" is 174.,34
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,moreThan3ArgumentsPrintsUsage,Magic Number,The method contains a magic number: 3,45
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,export,Long Statement,The length of the statement "String[] args={"target/test-classes/openjdk/SampleSun1_7_0-01_G1_young.txt"`"target/export.csv"`"target/export.png"`"-t"`"PLAIN"};" is 130.,56
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,illegalExportFormat,Magic Number,The method contains a magic number: 2,78
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGcLogSeries,Long Statement,The length of the statement "List<GCResource> resources=Arrays.asList(new GcResourceFile("some_gc.log.0")`new GcResourceFile("some_gc.log.1")`new GcResourceFile("some_gc.log.2"));" is 150.,45
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcAndExportFile,Magic Number,The method contains a magic number: 2,57
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcSeriesAndExportFile,Long Statement,The length of the statement "List<GCResource> resources=Arrays.asList(new GcResourceFile("some_gc.log.0")`new GcResourceFile("some_gc.log.1")`new GcResourceFile("some_gc.log.2"));" is 150.,69
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcSeriesAndExportFile,Magic Number,The method contains a magic number: 2,69
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,allInitialArgsWithType,Magic Number,The method contains a magic number: 3,92
GCViewer,com.tagtraum.perf.gcviewer,ImportPerformanceTest,main,Magic Number,The method contains a magic number: 10,19
GCViewer,com.tagtraum.perf.gcviewer,ImportPerformanceTest,printIntData,Long Statement,The length of the statement "System.out.printf("results for %1$s in ms: %2$d runs%nmin` max` avg` stddev` sum%n" + "%3$s` %4$s` %5$s` %6$s` %7$s"`filename`data.getN()`data.getMin()`data.getMax()`data.average()`data.standardDeviation()`data.getSum());" is 221.,32
