Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,singleArgumentOpensGui,8,1,0,23,1,com.tagtraum.perf.gcviewer.GCViewer,com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,singleArgumentWithSeriesOpensGui,8,1,0,34,1,com.tagtraum.perf.gcviewer.GCViewer,com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,moreThan3ArgumentsPrintsUsage,8,1,0,45,1,com.tagtraum.perf.gcviewer.GCViewer,com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,export,8,1,0,56,1,com.tagtraum.perf.gcviewer.GCViewer,com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,exportFileNotFound,8,1,0,67,1,com.tagtraum.perf.gcviewer.GCViewer,com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,illegalExportFormat,6,1,0,78,1,com.tagtraum.perf.gcviewer.GCViewer,com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,noArguments,7,1,0,24,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGCLog,8,1,0,34,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGcLogSeries,9,1,0,45,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcAndExportFile,9,1,0,57,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcSeriesAndExportFile,10,1,0,69,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyType,7,1,0,82,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,allInitialArgsWithType,10,1,0,92,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,illegalType,11,1,0,105,1,com.tagtraum.perf.gcviewer.GCViewerArgsParser,com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,ImportPerformanceTest,main,10,2,1,19,0,com.tagtraum.perf.gcviewer.imp.DataReaderFactory,com.tagtraum.perf.gcviewer.imp.DataReaderFactory; com.tagtraum.perf.gcviewer.imp.DataReader; com.tagtraum.perf.gcviewer.math.IntData; com.tagtraum.perf.gcviewer.ImportPerformanceTest
GCViewer,com.tagtraum.perf.gcviewer,ImportPerformanceTest,printIntData,3,1,2,32,0,com.tagtraum.perf.gcviewer.math.IntData,com.tagtraum.perf.gcviewer.math.IntData
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,FOLDER,3,1,1,44,0,,
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,getFolderName,3,1,0,48,0,,
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,getResourceAsStream,7,2,1,54,0,,
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,getResourceAsStream,3,1,2,69,0,com.tagtraum.perf.gcviewer.UnittestHelper,com.tagtraum.perf.gcviewer.UnittestHelper
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,getResource,7,2,1,78,0,,
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,getResource,3,1,2,93,0,com.tagtraum.perf.gcviewer.UnittestHelper,com.tagtraum.perf.gcviewer.UnittestHelper
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,getResourceAsString,3,1,2,102,0,com.tagtraum.perf.gcviewer.UnittestHelper,com.tagtraum.perf.gcviewer.UnittestHelper
