Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.tagtraum.perf.gcviewer.GCViewer
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.tagtraum.perf.gcviewer.GCViewerArgsParser
GCViewer,com.tagtraum.perf.gcviewer,ImportPerformanceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.tagtraum.perf.gcviewer.imp.DataReader; com.tagtraum.perf.gcviewer.math.IntData; com.tagtraum.perf.gcviewer.imp.DataReaderFactory
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.tagtraum.perf.gcviewer.model.GCResource; com.tagtraum.perf.gcviewer.imp.DataReader; com.tagtraum.perf.gcviewer.imp.DataReaderFactory
GCViewer,com.tagtraum.perf.gcviewer,GCViewer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.tagtraum.perf.gcviewer.view.SimpleChartRenderer; com.tagtraum.perf.gcviewer.imp.DataReaderFacade
GCViewer,com.tagtraum.perf.gcviewer,GCViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parseAllocationFailure) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.model.GCModel.getPause; com.tagtraum.perf.gcviewer.math.DoubleData.getSum
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parseAllocationFailure) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.math.DoubleData.getSum; com.tagtraum.perf.gcviewer.model.GCModel.getGCPause
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parseAllocationFailure) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.model.GCModel.getFullGCPause; com.tagtraum.perf.gcviewer.math.DoubleData.getSum
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parsePassiveHeuristics) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parseSingleSystemGCEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parseJdk11) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (parseJdk17) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (testConcurrentReset) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,Law of Demeter violation,The tool detected the smell in this method (testConcurrentReset) because the method voilates the law of Demeter. The long chain of method invocations is : com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType
