Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
GCViewer,com.tagtraum.perf.gcviewer,GCViewerTest,0,0,6,6,51,6,0,0,-1.0,0,3,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/GCViewerTest.java,18
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,0,0,8,8,77,8,0,0,-1.0,0,3,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/TestGCViewerArgsParser.java,15
GCViewer,com.tagtraum.perf.gcviewer,ImportPerformanceTest,0,0,2,1,18,3,0,0,-1.0,0,4,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/ImportPerformanceTest.java,11
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper,2,0,11,10,134,13,0,0,0.45454545454545453,39,7,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/UnittestHelper.java,25
GCViewer,com.tagtraum.perf.gcviewer,UnittestHelper.FOLDER,1,0,0,0,8,0,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/UnittestHelper.java,34
GCViewer,com.tagtraum.perf.gcviewer,GCOutputProducer,7,0,3,1,46,6,0,0,0.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/GCOutputProducer.java,5
GCViewer,com.tagtraum.perf.gcviewer,GCOutputProducer.MemoryConsumingObject,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/GCOutputProducer.java,52
GCViewer,com.tagtraum.perf.gcviewer,TestBuildInfoReader,0,0,2,2,16,2,0,0,-1.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/TestBuildInfoReader.java,12
GCViewer,com.tagtraum.perf.gcviewer,GCViewerArgsParser,8,0,8,6,74,13,0,0,0.0,2,3,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/GCViewerArgsParser.java,13
GCViewer,com.tagtraum.perf.gcviewer,GCViewer,7,0,8,4,86,12,0,0,0.25,1,9,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/GCViewer.java,20
GCViewer,com.tagtraum.perf.gcviewer,GCViewerArgsParserException,0,0,2,1,17,3,0,0,-1.0,1,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/GCViewerArgsParserException.java,5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestLogHandler,1,0,5,5,22,6,0,0,0.6,23,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/test/java/com/tagtraum/perf/gcviewer/imp/TestLogHandler.java,8
